voyage_id,start_idx,end_idx,dep_time,arr_time,duration_hr,displacement_km,path_len_km,HeadingCum_deg,n_points,valid_flag,invalid_reason,dep_lat,dep_lon,arr_lat,arr_lon,origin_port,destination_port
1,11,13,2024-06-26 19:24:48,2024-06-26 21:24:53,2.001388888888889,0.13524767060799928,0.14104344444862965,0.0,3,False,R0_same_cluster,34.61599,135.3655,34.61528,135.3667,OSAKA,OSAKA
2,16,19,2024-06-27 00:18:53,2024-06-27 03:25:59,3.118333333333333,2.68846999437395,2.757146811409209,0.0,4,True,,34.61437,135.3661,34.62972,135.3888,OSAKA,OSAKA
3,24,24,2024-06-27 08:25:26,2024-06-27 08:25:26,0.0,0.0,0.0,0.0,1,False,R0_same_cluster,34.63263,135.4115,34.63263,135.4115,OSAKA,OSAKA
4,31,31,2024-06-27 15:22:32,2024-06-27 15:22:32,0.0,0.0,0.0,0.0,1,False,R0_same_cluster,34.63265,135.4113,34.63265,135.4113,OSAKA,OSAKA
5,34,34,2024-06-27 18:25:26,2024-06-27 18:25:26,0.0,0.0,0.0,0.0,1,False,R0_same_cluster,34.63265,135.4116,34.63265,135.4116,OSAKA,OSAKA
6,39,39,2024-06-27 23:24:39,2024-06-27 23:24:39,0.0,0.0,0.0,0.0,1,False,R0_same_cluster,34.63258,135.4115,34.63258,135.4115,OSAKA,OSAKA
7,44,44,2024-06-28 04:24:39,2024-06-28 04:24:39,0.0,0.0,0.0,0.0,1,False,R0_same_cluster,34.63269,135.4115,34.63269,135.4115,OSAKA,OSAKA
8,48,48,2024-06-28 08:21:39,2024-06-28 08:21:39,0.0,0.0,0.0,0.0,1,False,R0_same_cluster,34.63264,135.4115,34.63264,135.4115,OSAKA,OSAKA
9,53,53,2024-06-28 13:24:41,2024-06-28 13:24:41,0.0,0.0,0.0,0.0,1,False,R0_same_cluster,34.6326,135.4115,34.6326,135.4115,OSAKA,OSAKA
10,65,65,2024-06-29 01:24:43,2024-06-29 01:24:43,0.0,0.0,0.0,0.0,1,False,R0_same_cluster,34.6326,135.4115,34.6326,135.4115,OSAKA,OSAKA
11,70,78,2024-06-29 06:24:39,2024-06-29 14:21:59,7.955555555555556,0.009216597016404622,0.06611522433998329,0.0,9,False,R0_same_cluster,34.63263,135.4115,34.63262,135.4114,OSAKA,OSAKA
