voyage_id,dep_time,arr_time,date,origin_port,dest_port,distance_km,sailing_hours,sog_p50,sog_iqr,low_speed_ratio,cruise_band_ratio
15,2025-01-18 01:33:14,2025-01-18 17:19:14,2025-01-18,TAIPEI,FUZHOU,244.62228789954727,15.766666666666667,100.0,66.0,0.0121580547112462,0.00911854103343465
17,2025-01-22 04:33:13,2025-01-23 09:35:13,2025-01-23,TAIPEI,FUZHOU,311.34732613286826,29.033333333333335,45.0,72.0,0.00425531914893617,0.09645390070921986
31,2025-02-15 00:33:10,2025-02-15 14:25:10,2025-02-15,TAIPEI,FUZHOU,239.37487208221035,13.866666666666667,107.5,65.5,0.003968253968253968,0.003968253968253968
35,2025-02-21 21:39:09,2025-02-22 16:05:09,2025-02-22,TAIPEI,FUZHOU,264.9539960999065,18.433333333333334,71.0,38.25,0.015789473684210527,0.005263157894736842
41,2025-02-27 23:15:00,2025-03-02 16:31:00,2025-03-02,TAIPEI,FUZHOU,385.8949143705382,65.26666666666667,10.0,30.0,0.20793739519284515,0.2956959195081051
54,2025-03-18 00:20:59,2025-03-18 15:27:03,2025-03-18,TAIPEI,FUZHOU,229.4764686294993,15.101111111111111,97.5,90.0,0.007936507936507936,0.023809523809523808
56,2025-03-21 01:50:59,2025-03-21 16:21:00,2025-03-21,TAIPEI,FUZHOU,244.1065130141788,14.500277777777777,109.0,99.0,0.1896551724137931,0.02586206896551724
58,2025-03-23 19:16:59,2025-03-24 10:00:59,2025-03-24,TAIPEI,FUZHOU,244.52510327406966,14.733333333333333,98.0,101.5,0.01845018450184502,0.21033210332103322
75,2025-04-02 20:12:59,2025-04-03 09:51:02,2025-04-03,TAIPEI,FUZHOU,234.55263151578083,13.634166666666667,93.0,49.0,0.014634146341463415,0.11707317073170732
79,2025-04-08 16:47:01,2025-04-09 12:35:01,2025-04-09,TAIPEI,FUZHOU,241.73782614497568,19.8,8.0,95.0,0.3829787234042553,0.05585106382978723
91,2025-04-15 23:05:07,2025-04-16 15:03:00,2025-04-16,TAIPEI,FUZHOU,241.83487358719822,15.964722222222223,86.0,99.0,0.026217228464419477,0.18726591760299627
103,2025-04-23 22:59:03,2025-04-24 13:12:59,2025-04-24,TAIPEI,FUZHOU,240.2489061135298,14.232222222222223,97.0,67.0,0.01098901098901099,0.003663003663003663
108,2025-04-30 23:26:59,2025-05-01 15:14:59,2025-05-01,TAIPEI,FUZHOU,240.1365034608117,15.8,105.0,110.0,0.2888198757763975,0.015527950310559006
132,2025-05-30 22:23:00,2025-05-31 17:35:00,2025-05-31,TAIPEI,FUZHOU,287.12687006091886,19.2,90.0,84.0,0.008908685968819599,0.011135857461024499
142,2025-06-08 06:45:00,2025-06-08 18:23:01,2025-06-08,TAIPEI,FUZHOU,234.33141792132918,11.633611111111112,114.0,10.0,0.019417475728155338,0.014563106796116505
161,2025-06-23 00:29:01,2025-06-23 13:47:01,2025-06-23,TAIPEI,FUZHOU,236.0251363542675,13.3,92.0,50.75,0.011111111111111112,0.044444444444444446
169,2025-07-06 13:17:01,2025-07-08 13:09:02,2025-07-08,TAIPEI,FUZHOU,475.2667414223614,47.86694444444444,24.0,55.0,0.006375227686703097,0.1302367941712204
184,2025-07-22 17:20:01,2025-07-23 12:32:01,2025-07-23,TAIPEI,FUZHOU,274.94857074477187,19.2,60.0,76.25,0.011061946902654867,0.01991150442477876
186,2025-07-26 01:16:01,2025-07-27 15:22:02,2025-07-27,TAIPEI,FUZHOU,333.62109172045894,38.10027777777778,23.0,79.0,0.10140562248995984,0.20783132530120482
196,2025-08-04 17:18:02,2025-08-05 11:40:06,2025-08-05,TAIPEI,FUZHOU,272.32819432536644,18.36777777777778,85.0,81.0,0.00966183574879227,0.007246376811594203
200,2025-08-09 22:14:02,2025-08-10 14:44:02,2025-08-10,TAIPEI,FUZHOU,247.5522461746904,16.5,98.0,90.0,0.0058309037900874635,0.0029154518950437317
202,2025-08-12 20:26:02,2025-08-13 16:32:03,2025-08-13,TAIPEI,FUZHOU,279.20985050695685,20.100277777777777,75.5,79.0,0.004201680672268907,0.10084033613445378
204,2025-08-16 11:50:03,2025-08-17 09:46:03,2025-08-17,TAIPEI,FUZHOU,280.13847331625686,21.933333333333334,63.0,81.0,0.005964214711729622,0.04771371769383698
213,2025-08-30 01:36:03,2025-08-30 18:20:03,2025-08-30,TAIPEI,FUZHOU,243.0867654581119,16.733333333333334,59.0,95.0,0.005714285714285714,0.008571428571428572
217,2025-09-04 04:24:04,2025-09-04 15:52:04,2025-09-04,TAIPEI,FUZHOU,235.5018636551496,11.466666666666667,117.0,22.25,0.010416666666666666,0.005208333333333333
220,2025-09-06 21:06:04,2025-09-07 13:18:04,2025-09-07,TAIPEI,FUZHOU,240.94509900706865,16.2,87.0,102.0,0.005405405405405406,0.22972972972972974
224,2025-09-12 23:22:04,2025-09-13 17:34:04,2025-09-13,TAIPEI,FUZHOU,257.2429839932463,18.2,87.0,86.5,0.052109181141439205,0.03225806451612903
233,2025-09-24 01:12:05,2025-09-24 17:08:05,2025-09-24,TAIPEI,FUZHOU,256.29614170813596,15.933333333333334,88.0,69.0,0.00847457627118644,0.0
240,2025-10-04 20:42:05,2025-10-05 11:26:05,2025-10-05,TAIPEI,FUZHOU,240.00196247087123,14.733333333333333,101.0,97.25,0.013422818791946308,0.2214765100671141
245,2025-10-10 23:02:01,2025-10-11 16:56:01,2025-10-11,TAIPEI,FUZHOU,265.7846771835843,17.9,85.0,88.0,0.002506265664160401,0.015037593984962405
