voyage_id,start_idx,end_idx,dep_time,arr_time,valid_flag,invalid_reason,arrive_mode,arrive_conf,moored_start,moored_end,approach_start,anchorage_flag,waiting_time_proxy_min,dest_port,dest_unlocode,dest_port_lat,dest_port_lon,dest_port_dist_km,origin_port,origin_unlocode,origin_port_lat,origin_port_lon,origin_port_dist_km
1,634,644,2025-01-01 21:09:15,2025-01-01 21:29:15,False,R0_same_cluster,start_to_moored,0.75,2025-01-01 21:31:15,2025-01-03 11:59:15,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.6304898363220816,TAIPEI,TWTPE,25.159,121.39100000000002,0.662882692918479
2,1798,2882,2025-01-03 12:01:15,2025-01-05 02:43:15,False,R0_same_cluster,start_to_moored,0.75,2025-01-05 02:45:15,2025-01-05 21:09:15,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.32093336824621094,TAIPEI,TWTPE,25.159,121.39100000000002,0.6304898363220816
3,3436,3841,2025-01-05 21:11:15,2025-01-06 11:53:15,True,,start_to_anchored,0.5,,,,False,,HUALIEN,TWHUN,23.97613,121.62560000000002,0.745389382731194,TAIPEI,TWTPE,25.159,121.39100000000002,0.32093336824621094
4,3863,3864,2025-01-06 12:37:15,2025-01-06 12:39:15,False,R0_same_cluster,start_to_anchored,0.5,,,,False,,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7443599071603302,HUALIEN,TWHUN,23.97613,121.62560000000002,0.745389382731194
5,3894,3906,2025-01-06 13:39:15,2025-01-06 14:03:15,False,R0_same_cluster,start_to_anchored,0.5,,,,False,,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7448065527826476,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7443599071603302
6,3923,4511,2025-01-06 14:37:15,2025-01-07 11:27:15,True,,start_to_moored,0.75,2025-01-07 11:29:15,2025-01-08 04:01:15,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.32418464808820363,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7448065527826476
7,5008,5657,2025-01-08 04:03:15,2025-01-09 08:33:15,False,R5_missing_time_gap,start_to_moored,0.75,2025-01-09 08:35:15,2025-01-09 14:43:15,,False,,LUOYUAN,CNLYA,26.46016,119.67079999999999,2.788657795494009,TAIPEI,TWTPE,25.159,121.39100000000002,0.32418464808820363
8,5840,6101,2025-01-09 14:45:15,2025-01-10 09:27:15,False,R5_missing_time_gap,start_to_moored,0.75,2025-01-10 09:29:16,2025-01-11 02:45:15,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.6246258648358721,LUOYUAN,CNLYA,26.46016,119.67079999999999,2.788657795494009
9,6620,7033,2025-01-11 02:47:15,2025-01-11 18:29:15,True,,start_to_anchored,0.5,,,,False,,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7395901914577232,TAIPEI,TWTPE,25.159,121.39100000000002,0.6246258648358721
10,7061,7082,2025-01-11 19:25:15,2025-01-11 20:07:15,False,R0_same_cluster,start_to_anchored,0.5,,,,False,,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7387593210148915,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7395901914577232
11,7112,7199,2025-01-11 21:07:15,2025-01-12 00:01:15,False,R0_same_cluster,start_to_anchored,0.5,,,,False,,HUALIEN,TWHUN,23.97613,121.62560000000002,0.744107563331673,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7387593210148915
12,7216,7706,2025-01-12 00:35:15,2025-01-12 18:17:14,True,,start_to_moored,0.75,2025-01-12 18:19:15,2025-01-13 17:23:14,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.3221499783425196,HUALIEN,TWHUN,23.97613,121.62560000000002,0.744107563331673
13,8398,8709,2025-01-13 17:25:14,2025-01-14 08:11:14,False,R5_missing_time_gap,start_to_moored,0.75,2025-01-14 08:13:15,2025-01-14 15:27:14,,False,,LUOYUAN,CNLYA,26.46016,119.67079999999999,2.72591890705429,TAIPEI,TWTPE,25.159,121.39100000000002,0.3221499783425196
14,8926,9725,2025-01-14 15:29:14,2025-01-16 08:51:14,False,R5_missing_time_gap,start_to_moored,0.75,2025-01-16 08:53:14,2025-01-18 01:31:14,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.43526571952784016,LUOYUAN,CNLYA,26.46016,119.67079999999999,2.72591890705429
15,10945,11273,2025-01-18 01:33:14,2025-01-18 17:19:14,False,R5_missing_time_gap,start_to_moored,0.75,2025-01-18 17:21:14,2025-01-19 12:03:14,,False,,FUZHOU,CNFOC,26.00031,119.43510000000003,4.544127467436223,TAIPEI,TWTPE,25.159,121.39100000000002,0.43526571952784016
16,11836,12047,2025-01-19 12:05:13,2025-01-20 02:17:13,False,R5_missing_time_gap,start_to_moored,0.75,2025-01-20 02:19:13,2025-01-22 04:31:13,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.3238178057446798,FUZHOU,CNFOC,26.00031,119.43510000000003,4.544127467436223
17,13554,14258,2025-01-22 04:33:13,2025-01-23 09:35:13,False,R5_missing_time_gap,start_to_moored,0.75,2025-01-23 09:37:13,2025-01-23 15:25:13,,False,,FUZHOU,CNFOC,26.00031,119.43510000000003,4.54645769950801,TAIPEI,TWTPE,25.159,121.39100000000002,0.3238178057446798
18,14433,14668,2025-01-23 15:27:13,2025-01-24 05:53:13,False,R5_missing_time_gap,start_to_moored,0.75,2025-01-24 05:55:14,2025-01-25 00:51:13,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.32773028048970543,FUZHOU,CNFOC,26.00031,119.43510000000003,4.54645769950801
19,15235,15235,2025-01-25 00:53:14,2025-01-25 00:53:14,False,R0_same_cluster,start_to_moored,0.75,2025-01-25 00:55:14,2025-01-25 02:23:13,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.3356088655348458,TAIPEI,TWTPE,25.159,121.39100000000002,0.32773028048970543
20,15281,15670,2025-01-25 02:25:14,2025-01-25 16:31:13,True,,start_to_moored,0.75,2025-01-25 16:33:13,2025-01-25 17:49:12,,False,,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7482019639295927,TAIPEI,TWTPE,25.159,121.39100000000002,0.3356088655348458
21,15710,15710,2025-01-25 17:51:13,2025-01-25 17:51:13,False,R0_same_cluster,start_to_moored,0.75,2025-01-25 17:53:13,2025-01-25 19:03:12,,False,,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7456668604030392,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7482019639295927
22,15747,15757,2025-01-25 19:05:13,2025-01-25 19:25:13,False,R0_same_cluster,start_to_anchored,0.5,,,,False,,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7428796466107879,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7456668604030392
23,15776,16363,2025-01-25 20:03:15,2025-01-26 16:37:13,True,,start_to_moored,0.75,2025-01-26 16:39:13,2025-02-01 18:11:11,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.3225728058842012,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7428796466107879
24,20730,22358,2025-02-01 18:13:11,2025-02-04 04:51:11,False,R0_same_cluster,start_to_moored,0.75,2025-02-04 04:53:11,2025-02-05 04:53:11,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.43674141718673076,TAIPEI,TWTPE,25.159,121.39100000000002,0.3225728058842012
25,23079,23487,2025-02-05 04:55:11,2025-02-05 19:05:11,True,,start_to_moored,0.75,2025-02-05 19:07:11,2025-02-05 20:21:11,,False,,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7437945876031586,TAIPEI,TWTPE,25.159,121.39100000000002,0.43674141718673076
26,23526,24191,2025-02-05 20:23:11,2025-02-06 21:31:11,True,,start_to_moored,0.75,2025-02-06 21:33:11,2025-02-08 04:27:11,,False,,TAIPEI,TWTPE,25.159,121.39100000000002,0.32287581731530046,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7437945876031586
27,25117,25816,2025-02-08 04:29:11,2025-02-09 05:57:12,True,,start_to_anchored,0.5,,,,False,,HUALIEN,TWHUN,23.97613,121.62560000000002,0.7413675688719081,TAIPEI,TWTPE,25.159,121.39100000000002,0.32287581731530046
