index,origin_port,dest_port,status,reason,error_detail,length
0,AUDAM,TWKHH,ok,,,2679.633201311897
1,AUDAM,TWTXG,ok,,,2770.4246081244037
2,AUPHE,CNPUT,ok,,,2825.284929120526
3,AUPHE,TWKHH,ok,,,2614.9445185276813
4,AUPHE,TWTXG,ok,,,2705.735925340188
5,AUPWL,JPFKY,ok,,,3670.1801868365897
6,AUPWL,TWKHH,ok,,,2679.633201311897
7,AUPWL,TWTXG,ok,,,2770.4246081244037
8,CNHOP,CNSHK,ok,,,11.002980260681175
9,CNHUA,CNSHK,ok,,,11.002980260681175
10,CNLSN,TWTXG,ok,,,770.8807940041178
11,CNPUT,TWKHH,ok,,,220.66051445639704
12,CNSHK,TWKHH,ok,,,432.1352653079215
13,CNSHK,TWTXG,ok,,,522.9266721204274
14,CNZOS,AUPWL,ok,,,3186.3752682948907
15,CNZOS,TWKHH,ok,,,517.0621708465451
16,CNZUH,PHCEB,ok,,,1181.6879089661368
17,HKHKG,CNHUA,ok,,,109.45381180226414
18,JPFKY,AUPWL,ok,,,3670.1801868365897
19,JPFKY,TWTXG,ok,,,1080.7259100805688
20,JPFNB,JPOSA,ok,,,409.05598218634725
21,JPFNB,JPSKM,ok,,,403.04592042385246
22,JPFNB,JPYWT,ok,,,608.8868123235891
23,JPKGA,JPUKB,ok,,,14.44756371891733
24,JPKSM,TWSUO,ok,,,1456.8859079788474
25,JPMIZ,TWTXG,ok,,,1080.7259100805688
26,JPOSA,JPSKM,ok,,,64.02797061996186
27,JPOSA,KRTJI,ok,,,365.7573338275503
28,JPSKM,JPKGA,ok,,,49.580406901044526
29,JPSKM,TWKEL,ok,,,1105.018374215975
30,JPUKB,JPYOK,ok,,,342.6426288940326
31,JPUKB,TWKHH,ok,,,1187.8427629600424
32,JPYOK,TWKEL,ok,,,1276.024217631901
33,JPYOK,TWKHH,ok,,,1349.9578938914133
34,JPYWT,JPKGA,ok,,,255.42129880078107
35,JPYWT,JPUKB,ok,,,269.8688625196984
36,KRMAS,PHMNL,ok,,,1455.0443276289545
37,KRTJI,TWKHH,ok,,,950.7201237150198
38,PHALC,TWKHH,ok,,,1003.7113461432442
39,PHCAA,TWKHH,ok,,,514.6443077774869
40,PHCEB,VNDQT,ok,,,1248.748777757185
41,PHMNL,PHCAA,ok,,,0.0
42,TWHUN,PHALC,ok,,,1119.7302759849526
43,TWKEL,CNHOP,ok,,,591.4299152411048
44,TWKEL,TWKHH,ok,,,220.34321831433567
45,TWKHH,AUDAM,ok,,,2679.633201311897
46,TWKHH,AUPHE,ok,,,2614.944518527681
47,TWKHH,AUPWL,ok,,,2679.633201311897
48,TWKHH,CNZOS,ok,,,517.0621708465451
49,TWKHH,HKHKG,ok,,,415.15500008387903
50,TWKHH,JPFKY,ok,,,1140.5977221250591
51,TWKHH,JPFNB,ok,,,1416.3712471837277
52,TWKHH,JPOSA,ok,,,1187.8427629600421
53,TWKHH,TWKEL,ok,,,220.34321831433562
54,TWKHH,TWTPE,ok,,,195.9855705554074
55,TWKHH,TWTXG,ok,,,101.11151067605806
56,TWKHH,VNPHU,ok,,,1183.0837000323284
57,TWSUO,TWKHH,ok,,,248.45723836744455
58,TWTPE,CNLSN,ok,,,732.461282030167
59,TWTPE,JPMIZ,ok,,,1042.3063981066182
60,TWTPE,TWKHH,ok,,,195.9855705554075
61,TWTPE,TWTXG,ok,,,94.87405987934937
62,TWTXG,AUDAM,ok,,,2770.424608124403
63,TWTXG,AUPHE,ok,,,2705.7359253401874
64,TWTXG,AUPWL,ok,,,2770.424608124403
65,TWTXG,CNSHK,ok,,,522.9266721204274
66,TWTXG,TWHUN,ok,,,209.55875048332172
67,TWTXG,TWKHH,ok,,,101.11151067605807
68,TWTXG,TWTPE,ok,,,94.87405987934936
69,VNPHU,CNZUH,ok,,,865.5748098839331
